,COUNTYFP,COUNTYNAME,STATE
9566,003,Allen County,KY
9571,005,Anderson County,KY
9574,007,Ballard County,KY
9577,009,Barren County,KY
9583,011,Bath County,KY
9586,013,Bell County,KY
9591,015,Boone County,KY
9595,017,Bourbon County,KY
9598,019,Boyd County,KY
9602,021,Boyle County,KY
9605,023,Bracken County,KY
9608,025,Breathitt County,KY
9615,027,Breckinridge County,KY
9620,029,Bullitt County,KY
9625,031,Butler County,KY
9630,033,Caldwell County,KY
9632,035,Calloway County,KY
9637,037,Campbell County,KY
9640,039,Carlisle County,KY
9643,041,Carroll County,KY
9645,043,Carter County,KY
9651,045,Casey County,KY
9656,047,Christian County,KY
9661,049,Clark County,KY
9664,051,Clay County,KY
9670,053,Clinton County,KY
9672,055,Crittenden County,KY
9676,057,Cumberland County,KY
9678,059,Daviess County,KY
9681,061,Edmonson County,KY
9685,063,Elliott County,KY
9687,065,Estill County,KY
9691,067,Fayette County,KY
9696,069,Fleming County,KY
9699,071,Floyd County,KY
9707,073,Franklin County,KY
9710,075,Fulton County,KY
9713,077,Gallatin County,KY
9714,079,Garrard County,KY
9717,081,Grant County,KY
9720,083,Graves County,KY
9727,085,Grayson County,KY
9732,087,Green County,KY
9736,089,Greenup County,KY
9741,091,Hancock County,KY
9744,093,Hardin County,KY
9751,095,Harlan County,KY
9759,097,Harrison County,KY
9762,099,Hart County,KY
9767,101,Henderson County,KY
9771,103,Henry County,KY
9775,105,Hickman County,KY
9777,107,Hopkins County,KY
9783,109,Jackson County,KY
9786,111,Jefferson County,KY
9800,113,Jessamine County,KY
9803,115,Johnson County,KY
9807,117,Kenton County,KY
9810,119,Knott County,KY
9815,121,Knox County,KY
9822,123,Larue County,KY
9825,125,Laurel County,KY
9833,127,Lawrence County,KY
9838,129,Lee County,KY
9841,131,Leslie County,KY
9844,133,Letcher County,KY
9849,135,Lewis County,KY
9853,137,Lincoln County,KY
9857,139,Livingston County,KY
9859,141,Logan County,KY
9863,143,Lyon County,KY
9866,145,McCracken County,KY
9870,147,McCreary County,KY
9874,149,McLean County,KY
9878,151,Madison County,KY
9884,153,Magoffin County,KY
9887,155,Marion County,KY
9894,157,Marshall County,KY
9897,159,Martin County,KY
9900,161,Mason County,KY
9902,163,Meade County,KY
9905,165,Menifee County,KY
9907,167,Mercer County,KY
9910,169,Metcalfe County,KY
9913,171,Monroe County,KY
9916,173,Montgomery County,KY
9918,175,Morgan County,KY
9923,177,Muhlenberg County,KY
9929,179,Nelson County,KY
9934,181,Nicholas County,KY
9936,183,Ohio County,KY
9943,185,Oldham County,KY
9945,187,Owen County,KY
9948,189,Owsley County,KY
9951,191,Pendleton County,KY
9954,193,Perry County,KY
9961,195,Pike County,KY
9976,197,Powell County,KY
9978,199,Pulaski County,KY
9985,201,Robertson County,KY
9986,203,Rockcastle County,KY
9989,205,Rowan County,KY
9991,207,Russell County,KY
9995,209,Scott County,KY
9998,211,Shelby County,KY
10002,213,Simpson County,KY
10004,215,Spencer County,KY
10006,217,Taylor County,KY
10009,219,Todd County,KY
10013,221,Trigg County,KY
10018,223,Trimble County,KY
10020,225,Union County,KY
10023,227,Warren County,KY
10030,229,Washington County,KY
10032,231,Wayne County,KY
10037,233,Webster County,KY
10041,235,Whitley County,KY
10047,237,Wolfe County,KY
10050,239,Woodford County,KY
10053,001,Acadia Parish,LA
10061,003,Allen Parish,LA
10068,005,Ascension Parish,LA
10079,007,Assumption Parish,LA
10088,009,Avoyelles Parish,LA
10097,011,Beauregard Parish,LA
10107,013,Bienville Parish,LA
10114,015,Bossier Parish,LA
10126,017,Caddo Parish,LA
10138,019,Calcasieu Parish,LA
10153,021,Caldwell Parish,LA
10160,023,Cameron Parish,LA
10167,025,Catahoula Parish,LA
10176,027,Claiborne Parish,LA
10186,029,Concordia Parish,LA
10192,031,De Soto Parish,LA
10203,033,East Baton Rouge Parish,LA
10215,035,East Carroll Parish,LA
10224,037,East Feliciana Parish,LA
10233,039,Evangeline Parish,LA
10246,041,Franklin Parish,LA
10253,043,Grant Parish,LA
10261,045,Iberia Parish,LA
10275,047,Iberville Parish,LA
10288,049,Jackson Parish,LA
10295,051,Jefferson Parish,LA
10300,053,Jefferson Davis Parish,LA
10313,055,Lafayette Parish,LA
10320,057,Lafourche Parish,LA
10329,059,LaSalle Parish,LA
10339,061,Lincoln Parish,LA
10351,063,Livingston Parish,LA
10360,065,Madison Parish,LA
10368,067,Morehouse Parish,LA
10375,069,Natchitoches Parish,LA
10386,071,Orleans Parish,LA
10387,073,Ouachita Parish,LA
10393,075,Plaquemines Parish,LA
10402,077,Pointe Coupee Parish,LA
10414,079,Rapides Parish,LA
10423,081,Red River Parish,LA
10430,083,Richland Parish,LA
10439,085,Sabine Parish,LA
10448,087,St. Bernard Parish,LA
10453,089,St. Charles Parish,LA
10460,091,St. Helena Parish,LA
10466,093,St. James Parish,LA
10473,095,St. John the Baptist Parish,LA
10480,097,St. Landry Parish,LA
10493,099,St. Martin Parish,LA
10502,101,St. Mary Parish,LA
10510,103,St. Tammany Parish,LA
10524,105,Tangipahoa Parish,LA
10534,107,Tensas Parish,LA
10541,109,Terrebonne Parish,LA
10550,111,Union Parish,LA
10559,113,Vermilion Parish,LA
10573,115,Vernon Parish,LA
10585,117,Washington Parish,LA
10592,119,Webster Parish,LA
10604,121,West Baton Rouge Parish,LA
10613,123,West Carroll Parish,LA
10618,125,West Feliciana Parish,LA
10622,127,Winn Parish,LA
10629,001,Androscoggin County,ME
10643,003,Aroostook County,ME
10714,005,Cumberland County,ME
10742,007,Franklin County,ME
10768,009,Hancock County,ME
10809,011,Kennebec County,ME
10839,013,Knox County,ME
10859,015,Lincoln County,ME
10880,017,Oxford County,ME
10919,019,Penobscot County,ME
10986,021,Piscataquis County,ME
11008,023,Sagadahoc County,ME
11019,025,Somerset County,ME
11056,027,Waldo County,ME
11082,029,Washington County,ME
11130,031,York County,ME
11159,001,Allegany County,MD
11184,003,Anne Arundel County,MD
11191,005,Baltimore County,MD
11206,009,Calvert County,MD
11209,011,Caroline County,MD
11217,013,Carroll County,MD
11231,015,Cecil County,MD
11240,017,Charles County,MD
11250,019,Dorchester County,MD
11268,021,Frederick County,MD
11294,023,Garrett County,MD
11310,025,Harford County,MD
11316,027,Howard County,MD
11322,029,Kent County,MD
11329,031,Montgomery County,MD
11342,033,Prince George's County,MD
11363,035,Queen Anne's County,MD
11370,037,St. Mary's County,MD
11379,039,Somerset County,MD
11394,041,Talbot County,MD
11399,043,Washington County,MD
11426,045,Wicomico County,MD
11441,047,Worcester County,MD
11448,510,Baltimore city,MD
11449,001,Barnstable County,MA
11465,003,Berkshire County,MA
11497,005,Bristol County,MA
11518,007,Dukes County,MA
11525,009,Essex County,MA
11560,011,Franklin County,MA
11586,013,Hampden County,MA
11609,015,Hampshire County,MA
11629,017,Middlesex County,MA
11683,019,Nantucket County,MA
11685,021,Norfolk County,MA
11713,023,Plymouth County,MA
11741,025,Suffolk County,MA
11746,027,Worcester County,MA
11806,001,Alcona County,MI
11819,003,Alger County,MI
11829,005,Allegan County,MI
11863,007,Alpena County,MI
11873,009,Antrim County,MI
11889,011,Arenac County,MI
11905,013,Baraga County,MI
11911,015,Barry County,MI
11928,017,Bay County,MI
11948,019,Benzie County,MI
11962,021,Berrien County,MI
11993,023,Branch County,MI
12011,025,Calhoun County,MI
12034,027,Cass County,MI
12051,029,Charlevoix County,MI
12070,031,Cheboygan County,MI
12091,033,Chippewa County,MI
12109,035,Clare County,MI
12127,037,Clinton County,MI
12149,039,Crawford County,MI
12156,041,Delta County,MI
12173,043,Dickinson County,MI
12183,045,Eaton County,MI
12205,047,Emmet County,MI
12224,049,Genesee County,MI
12252,051,Gladwin County,MI
12269,053,Gogebic County,MI
12279,055,Grand Traverse County,MI
12294,057,Gratiot County,MI
12313,059,Hillsdale County,MI
12335,061,Houghton County,MI
12352,063,Huron County,MI
12384,065,Ingham County,MI
12405,067,Ionia County,MI
12424,069,Iosco County,MI
12439,071,Iron County,MI
12450,073,Isabella County,MI
12468,075,Jackson County,MI
12488,077,Kalamazoo County,MI
12507,079,Kalkaska County,MI
12519,081,Kent County,MI
12549,083,Keweenaw County,MI
12555,085,Lake County,MI
12570,087,Lapeer County,MI
12591,089,Leelanau County,MI
12604,091,Lenawee County,MI
12630,093,Livingston County,MI
12649,095,Luce County,MI
12654,097,Mackinac County,MI
12668,099,Macomb County,MI
12693,101,Manistee County,MI
12709,103,Marquette County,MI
12732,105,Mason County,MI
12750,107,Mecosta County,MI
12767,109,Menominee County,MI
12784,111,Midland County,MI
12802,113,Missaukee County,MI
12819,115,Monroe County,MI
12840,117,Montcalm County,MI
12863,119,Montmorency County,MI
12871,121,Muskegon County,MI
12895,123,Newaygo County,MI
12923,125,Oakland County,MI
12975,127,Oceana County,MI
12993,129,Ogemaw County,MI
13009,131,Ontonagon County,MI
13021,133,Osceola County,MI
13039,135,Oscoda County,MI
13045,137,Otsego County,MI
13055,139,Ottawa County,MI
13079,141,Presque Isle County,MI
13096,143,Roscommon County,MI
13107,145,Saginaw County,MI
13137,147,St. Clair County,MI
13169,149,St. Joseph County,MI
13187,151,Sanilac County,MI
13218,153,Schoolcraft County,MI
13228,155,Shiawassee County,MI
13249,157,Tuscola County,MI
13275,159,Van Buren County,MI
13298,161,Washtenaw County,MI
13324,163,Wayne County,MI
13367,165,Wexford County,MI
13385,001,Aitkin County,MN
13435,003,Anoka County,MN
13456,005,Becker County,MN
13500,007,Beltrami County,MN
13555,009,Benton County,MN
13574,011,Big Stone County,MN
13596,013,Blue Earth County,MN
13632,015,Brown County,MN
13655,017,Carlton County,MN
13685,019,Carver County,MN
13707,021,Cass County,MN
13776,023,Chippewa County,MN
13799,025,Chisago County,MN
13818,027,Clay County,MN
13859,029,Clearwater County,MN
13888,031,Cook County,MN
13896,033,Cottonwood County,MN
13921,035,Crow Wing County,MN
13969,037,Dakota County,MN
14003,039,Dodge County,MN
14022,041,Douglas County,MN
14053,043,Faribault County,MN
14084,045,Fillmore County,MN
14121,047,Freeborn County,MN
14155,049,Goodhue County,MN
14186,051,Grant County,MN
14209,053,Hennepin County,MN
14255,055,Houston County,MN
14279,057,Hubbard County,MN
14311,059,Isanti County,MN
14328,061,Itasca County,MN
14386,063,Jackson County,MN
14412,065,Kanabec County,MN
14432,067,Kandiyohi County,MN
14468,069,Kittson County,MN
14507,071,Koochiching County,MN
14519,073,Lac qui Parle County,MN
14548,075,Lake County,MN
14559,077,Lake of the Woods County,MN
14585,079,Le Sueur County,MN
14610,081,Lincoln County,MN
14630,083,Lyon County,MN
14661,085,McLeod County,MN
14684,087,Mahnomen County,MN
14703,089,Marshall County,MN
14763,091,Martin County,MN
14793,093,Meeker County,MN
14819,095,Mille Lacs County,MN
14844,097,Morrison County,MN
14890,099,Mower County,MN
14924,101,Murray County,MN
14953,103,Nicollet County,MN
14972,105,Nobles County,MN
15003,107,Norman County,MN
15035,109,Olmsted County,MN
15061,111,Otter Tail County,MN
15145,113,Pennington County,MN
15169,115,Pine County,MN
15216,117,Pipestone County,MN
15237,119,Polk County,MN
15310,121,Pope County,MN
15340,123,Ramsey County,MN
15359,125,Red Lake County,MN
15376,127,Redwood County,MN
15417,129,Renville County,MN
15454,131,Rice County,MN
15475,133,Rock County,MN
15495,135,Roseau County,MN
15537,137,St. Louis County,MN
15648,139,Scott County,MN
15666,141,Sherburne County,MN
15683,143,Sibley County,MN
15708,145,Stearns County,MN
15773,147,Steele County,MN
15790,149,Stevens County,MN
15811,151,Swift County,MN
15840,153,Todd County,MN
15880,155,Traverse County,MN
15899,157,Wabasha County,MN
15927,159,Wadena County,MN
15949,161,Waseca County,MN
15966,163,Washington County,MN
15999,165,Watonwan County,MN
16019,167,Wilkin County,MN
16049,169,Winona County,MN
16081,171,Wright County,MN
16116,173,Yellow Medicine County,MN
16146,001,Adams County,MS
16151,003,Alcorn County,MS
16156,005,Amite County,MS
16161,007,Attala County,MS
16166,009,Benton County,MS
16171,011,Bolivar County,MS
16176,013,Calhoun County,MS
16181,015,Carroll County,MS
16186,017,Chickasaw County,MS
16191,019,Choctaw County,MS
16196,021,Claiborne County,MS
16201,023,Clarke County,MS
16206,025,Clay County,MS
16211,027,Coahoma County,MS
16216,029,Copiah County,MS
16221,031,Covington County,MS
16226,033,DeSoto County,MS
16231,035,Forrest County,MS
16236,037,Franklin County,MS
16241,039,George County,MS
16246,041,Greene County,MS
16251,043,Grenada County,MS
16256,045,Hancock County,MS
16261,047,Harrison County,MS
16266,049,Hinds County,MS
16271,051,Holmes County,MS
16276,053,Humphreys County,MS
16281,055,Issaquena County,MS
16286,057,Itawamba County,MS
16291,059,Jackson County,MS
16296,061,Jasper County,MS
16301,063,Jefferson County,MS
16306,065,Jefferson Davis County,MS
16311,067,Jones County,MS
16316,069,Kemper County,MS
16321,071,Lafayette County,MS
16326,073,Lamar County,MS
16331,075,Lauderdale County,MS
16336,077,Lawrence County,MS
16341,079,Leake County,MS
16346,081,Lee County,MS
16351,083,Leflore County,MS
16356,085,Lincoln County,MS
16361,087,Lowndes County,MS
16366,089,Madison County,MS
16371,091,Marion County,MS
16376,093,Marshall County,MS
16381,095,Monroe County,MS
16386,097,Montgomery County,MS
16391,099,Neshoba County,MS
16396,101,Newton County,MS
16401,103,Noxubee County,MS
16406,105,Oktibbeha County,MS
16411,107,Panola County,MS
16416,109,Pearl River County,MS
16421,111,Perry County,MS
16426,113,Pike County,MS
16431,115,Pontotoc County,MS
16436,117,Prentiss County,MS
16441,119,Quitman County,MS
16446,121,Rankin County,MS
16451,123,Scott County,MS
16456,125,Sharkey County,MS
16461,127,Simpson County,MS
16466,129,Smith County,MS
16471,131,Stone County,MS
16476,133,Sunflower County,MS
16481,135,Tallahatchie County,MS
16486,137,Tate County,MS
16491,139,Tippah County,MS
16496,141,Tishomingo County,MS
16501,143,Tunica County,MS
16506,145,Union County,MS
16511,147,Walthall County,MS
16516,149,Warren County,MS
16521,151,Washington County,MS
16526,153,Wayne County,MS
16531,155,Webster County,MS
16536,157,Wilkinson County,MS
16541,159,Winston County,MS
16546,161,Yalobusha County,MS
16551,163,Yazoo County,MS
16556,001,Adair County,MO
16566,003,Andrew County,MO
16576,005,Atchison County,MO
16587,007,Audrain County,MO
16595,009,Barry County,MO
16620,011,Barton County,MO
16635,013,Bates County,MO
16659,015,Benton County,MO
16668,017,Bollinger County,MO
16676,019,Boone County,MO
16686,021,Buchanan County,MO
16698,023,Butler County,MO
16708,025,Caldwell County,MO
16720,027,Callaway County,MO
16738,029,Camden County,MO
16749,031,Cape Girardeau County,MO
16759,033,Carroll County,MO
16778,035,Carter County,MO
16783,037,Cass County,MO
16801,039,Cedar County,MO
16808,041,Chariton County,MO
16823,043,Christian County,MO
16849,045,Clark County,MO
16862,047,Clay County,MO
16869,049,Clinton County,MO
16878,051,Cole County,MO
16884,053,Cooper County,MO
16898,055,Crawford County,MO
16907,057,Dade County,MO
16923,059,Dallas County,MO
16934,061,Daviess County,MO
16949,063,DeKalb County,MO
16958,065,Dent County,MO
16971,067,Douglas County,MO
16994,069,Dunklin County,MO
17002,071,Franklin County,MO
17014,073,Gasconade County,MO
17023,075,Gentry County,MO
17031,077,Greene County,MO
17071,079,Grundy County,MO
17084,081,Harrison County,MO
17104,083,Henry County,MO
17123,085,Hickory County,MO
17133,087,Holt County,MO
17145,089,Howard County,MO
17153,091,Howell County,MO
17165,093,Iron County,MO
17171,095,Jackson County,MO
17179,097,Jasper County,MO
17194,099,Jefferson County,MO
17206,101,Johnson County,MO
17221,103,Knox County,MO
17234,105,Laclede County,MO
17245,107,Lafayette County,MO
17253,109,Lawrence County,MO
17267,111,Lewis County,MO
17275,113,Lincoln County,MO
17287,115,Linn County,MO
17301,117,Livingston County,MO
17314,119,McDonald County,MO
17333,121,Macon County,MO
17357,123,Madison County,MO
17367,125,Maries County,MO
17374,127,Marion County,MO
17382,129,Mercer County,MO
17391,131,Miller County,MO
17398,133,Mississippi County,MO
17405,135,Moniteau County,MO
17412,137,Monroe County,MO
17422,139,Montgomery County,MO
17428,141,Morgan County,MO
17434,143,New Madrid County,MO
17445,145,Newton County,MO
17459,147,Nodaway County,MO
17474,149,Oregon County,MO
17492,151,Osage County,MO
17498,153,Ozark County,MO
17516,155,Pemiscot County,MO
17528,157,Perry County,MO
17536,159,Pettis County,MO
17553,161,Phelps County,MO
17563,163,Pike County,MO
17573,165,Platte County,MO
17587,167,Polk County,MO
17609,169,Pulaski County,MO
17615,171,Putnam County,MO
17626,173,Ralls County,MO
17633,175,Randolph County,MO
17645,177,Ray County,MO
17653,179,Reynolds County,MO
17659,181,Ripley County,MO
17675,183,St. Charles County,MO
17689,185,St. Clair County,MO
17705,186,Ste. Genevieve County,MO
17710,187,St. Francois County,MO
17718,189,St. Louis County,MO
17746,195,Saline County,MO
17757,197,Schuyler County,MO
17764,199,Scotland County,MO
17774,201,Scott County,MO
17783,203,Shannon County,MO
17793,205,Shelby County,MO
17803,207,Stoddard County,MO
17810,209,Stone County,MO
17831,211,Sullivan County,MO
17843,213,Taney County,MO
17851,215,Texas County,MO
17868,217,Vernon County,MO
17888,219,Warren County,MO
17895,221,Washington County,MO
17906,223,Wayne County,MO
17916,225,Webster County,MO
17931,227,Worth County,MO
17937,229,Wright County,MO
17949,510,St. Louis city,MO
17950,001,Beaverhead County,MT
17954,003,Big Horn County,MT
17958,005,Blaine County,MT
17961,007,Broadwater County,MT
17963,009,Carbon County,MT
17968,011,Carter County,MT
17970,013,Cascade County,MT
17977,015,Chouteau County,MT
17980,017,Custer County,MT
17984,019,Daniels County,MT
17986,021,Dawson County,MT
17988,023,Deer Lodge County,MT
17990,025,Fallon County,MT
17992,027,Fergus County,MT
17998,029,Flathead County,MT
18009,031,Gallatin County,MT
18017,033,Garfield County,MT
18019,035,Glacier County,MT
18022,037,Golden Valley County,MT
18024,039,Granite County,MT
18026,041,Hill County,MT
18031,043,Jefferson County,MT
18033,045,Judith Basin County,MT
18036,047,Lake County,MT
18038,049,Lewis and Clark County,MT
18042,051,Liberty County,MT
18044,053,Lincoln County,MT
18047,055,McCone County,MT
18049,057,Madison County,MT
18054,059,Meagher County,MT
18056,061,Mineral County,MT
18059,063,Missoula County,MT
18064,065,Musselshell County,MT
18067,067,Park County,MT
18071,069,Petroleum County,MT
18073,071,Phillips County,MT
18077,073,Pondera County,MT
18081,075,Powder River County,MT
18084,077,Powell County,MT
18087,079,Prairie County,MT
18089,081,Ravalli County,MT
18094,083,Richland County,MT
18098,085,Roosevelt County,MT
18100,087,Rosebud County,MT
18105,089,Sanders County,MT
18108,091,Sheridan County,MT
18112,093,Silver Bow County,MT
18115,095,Stillwater County,MT
18119,097,Sweet Grass County,MT
18121,099,Teton County,MT
18124,101,Toole County,MT
18126,103,Treasure County,MT
18128,105,Valley County,MT
18133,107,Wheatland County,MT
18135,109,Wibaux County,MT
18137,111,Yellowstone County,MT
18144,001,Adams County,NE
18161,003,Antelope County,NE
18187,005,Arthur County,NE
18188,007,Banner County,NE
18189,009,Blaine County,NE
18192,011,Boone County,NE
18201,013,Box Butte County,NE
18203,015,Boyd County,NE
18212,017,Brown County,NE
18217,019,Buffalo County,NE
18246,021,Burt County,NE
18260,023,Butler County,NE
18278,025,Cass County,NE
18297,027,Cedar County,NE
18321,029,Chase County,NE
18326,031,Cherry County,NE
18345,033,Cheyenne County,NE
18354,035,Clay County,NE
18372,037,Colfax County,NE
18385,039,Cuming County,NE
18403,041,Custer County,NE
18435,043,Dakota County,NE
18443,045,Dawes County,NE
18454,047,Dawson County,NE
18471,049,Deuel County,NE
18474,051,Dixon County,NE
18488,053,Dodge County,NE
18505,055,Douglas County,NE
18516,057,Dundy County,NE
18521,059,Fillmore County,NE
18536,061,Franklin County,NE
18548,063,Frontier County,NE
18576,065,Furnas County,NE
18587,067,Gage County,NE
18612,069,Garden County,NE
18616,071,Garfield County,NE
18626,073,Gosper County,NE
18639,075,Grant County,NE
18642,077,Greeley County,NE
18646,079,Hall County,NE
18661,081,Hamilton County,NE
18669,083,Harlan County,NE
18686,085,Hayes County,NE
18702,087,Hitchcock County,NE
18722,089,Holt County,NE
18760,091,Hooker County,NE
18761,093,Howard County,NE
18776,095,Jefferson County,NE
18793,097,Johnson County,NE
18803,099,Kearney County,NE
18817,101,Keith County,NE
18824,103,Keya Paha County,NE
18828,105,Kimball County,NE
18833,107,Knox County,NE
18866,109,Lancaster County,NE
18891,111,Lincoln County,NE
18903,113,Logan County,NE
18904,115,Loup County,NE
18907,117,McPherson County,NE
18913,119,Madison County,NE
18932,121,Merrick County,NE
18944,123,Morrill County,NE
18953,125,Nance County,NE
18967,127,Nemaha County,NE
18977,129,Nuckolls County,NE
18984,131,Otoe County,NE
19002,133,Pawnee County,NE
19007,135,Perkins County,NE
19010,137,Phelps County,NE
19023,139,Pierce County,NE
19042,141,Platte County,NE
19062,143,Polk County,NE
19068,145,Red Willow County,NE
19089,147,Richardson County,NE
19107,149,Rock County,NE
19121,151,Saline County,NE
19140,153,Sarpy County,NE
19169,155,Saunders County,NE
19194,157,Scotts Bluff County,NE
19209,159,Seward County,NE
19226,161,Sheridan County,NE
19236,163,Sherman County,NE
19242,165,Sioux County,NE
19245,167,Stanton County,NE
19259,169,Thayer County,NE
19267,171,Thomas County,NE
19268,173,Thurston County,NE
19279,175,Valley County,NE
19294,177,Washington County,NE
19300,179,Wayne County,NE
19313,181,Webster County,NE
19318,183,Wheeler County,NE
19320,185,York County,NE
19337,001,Churchill County,NV
19340,003,Clark County,NV
19342,005,Douglas County,NV
19347,007,Elko County,NV
19355,009,Esmeralda County,NV
19357,011,Eureka County,NV
19359,013,Humboldt County,NV
19363,015,Lander County,NV
19365,017,Lincoln County,NV
19368,019,Lyon County,NV
19373,021,Mineral County,NV
19376,023,Nye County,NV
19385,027,Pershing County,NV
19387,029,Storey County,NV
19389,031,Washoe County,NV
19401,033,White Pine County,NV
19407,510,Carson City,NV
19408,001,Belknap County,NH
19419,003,Carroll County,NH
19438,005,Cheshire County,NH
19461,007,Coos County,NH
19504,009,Grafton County,NH
19544,011,Hillsborough County,NH
19575,013,Merrimack County,NH
19602,015,Rockingham County,NH
19640,017,Strafford County,NH
19653,019,Sullivan County,NH
19668,001,Atlantic County,NJ
19692,003,Bergen County,NJ
19762,005,Burlington County,NJ
19802,007,Camden County,NJ
19839,009,Cape May County,NJ
19856,011,Cumberland County,NJ
19871,013,Essex County,NJ
19893,015,Gloucester County,NJ
19917,017,Hudson County,NJ
19929,019,Hunterdon County,NJ
19955,021,Mercer County,NJ
19967,023,Middlesex County,NJ
19992,025,Monmouth County,NJ
20046,027,Morris County,NJ
20085,029,Ocean County,NJ
20119,031,Passaic County,NJ
20135,033,Salem County,NJ
20150,035,Somerset County,NJ
20171,037,Sussex County,NJ
20195,039,Union County,NJ
20216,041,Warren County,NJ
20238,001,Bernalillo County,NM
20242,003,Catron County,NM
20244,005,Chaves County,NM
20251,006,Cibola County,NM
20255,007,Colfax County,NM
20258,009,Curry County,NM
20261,011,De Baca County,NM
20263,013,Doña Ana County,NM
20270,015,Eddy County,NM
20274,017,Grant County,NM
20281,019,Guadalupe County,NM
20284,021,Harding County,NM
20286,023,Hidalgo County,NM
20288,025,Lea County,NM
20293,027,Lincoln County,NM
20298,028,Los Alamos County,NM
20300,029,Luna County,NM
20302,031,McKinley County,NM
20307,033,Mora County,NM
20309,035,Otero County,NM
20313,037,Quay County,NM
20317,039,Rio Arriba County,NM
20328,041,Roosevelt County,NM
20331,043,Sandoval County,NM
20335,045,San Juan County,NM
20342,047,San Miguel County,NM
20347,049,Santa Fe County,NM
20350,051,Sierra County,NM
20352,053,Socorro County,NM
20355,055,Taos County,NM
20362,057,Torrance County,NM
20364,059,Union County,NM
20366,061,Valencia County,NM
20368,001,Albany County,NY
20381,003,Allegany County,NY
20411,005,Bronx County,NY
20412,007,Broome County,NY
20429,009,Cattaraugus County,NY
20466,011,Cayuga County,NY
20491,013,Chautauqua County,NY
20523,015,Chemung County,NY
20535,017,Chenango County,NY
20557,019,Clinton County,NY
20572,021,Columbia County,NY
20591,023,Cortland County,NY
20607,025,Delaware County,NY
20626,027,Dutchess County,NY
20648,029,Erie County,NY
20679,031,Essex County,NY
20697,033,Franklin County,NY
20717,035,Fulton County,NY
20729,037,Genesee County,NY
20744,039,Greene County,NY
20758,041,Hamilton County,NY
20767,043,Herkimer County,NY
20787,045,Jefferson County,NY
20811,047,Kings County,NY
20812,049,Lewis County,NY
20829,051,Livingston County,NY
20846,053,Madison County,NY
20862,055,Monroe County,NY
20884,057,Montgomery County,NY
20895,059,Nassau County,NY
20900,061,New York County,NY
20901,063,Niagara County,NY
20919,065,Oneida County,NY
20947,067,Onondaga County,NY
20968,069,Ontario County,NY
20986,071,Orange County,NY
21010,073,Orleans County,NY
21021,075,Oswego County,NY
21046,077,Otsego County,NY
21071,079,Putnam County,NY
21077,081,Queens County,NY
21078,083,Rensselaer County,NY
21094,085,Richmond County,NY
21095,087,Rockland County,NY
21100,089,St. Lawrence County,NY
21133,091,Saratoga County,NY
21154,093,Schenectady County,NY
21160,095,Schoharie County,NY
21176,097,Schuyler County,NY
21184,099,Seneca County,NY
21195,101,Steuben County,NY
21229,103,Suffolk County,NY
21241,105,Sullivan County,NY
21256,107,Tioga County,NY
21265,109,Tompkins County,NY
21275,111,Ulster County,NY
21296,113,Warren County,NY
21308,115,Washington County,NY
21325,117,Wayne County,NY
21341,119,Westchester County,NY
21366,121,Wyoming County,NY
21382,123,Yates County,NY
21391,001,Alamance County,NC
21404,003,Alexander County,NC
21412,005,Alleghany County,NC
21419,007,Anson County,NC
21427,009,Ashe County,NC
21446,011,Avery County,NC
21465,013,Beaufort County,NC
21471,015,Bertie County,NC
21480,017,Bladen County,NC
21495,019,Brunswick County,NC
21501,021,Buncombe County,NC
21517,023,Burke County,NC
21530,025,Cabarrus County,NC
21542,027,Caldwell County,NC
21555,029,Camden County,NC
21558,031,Carteret County,NC
21574,033,Caswell County,NC
21583,035,Catawba County,NC
21591,037,Chatham County,NC
21604,039,Cherokee County,NC
21610,041,Chowan County,NC
21614,043,Clay County,NC
21620,045,Cleveland County,NC
21621,047,Columbus County,NC
21636,049,Craven County,NC
21644,051,Cumberland County,NC
21655,053,Currituck County,NC
21659,055,Dare County,NC
21665,057,Davidson County,NC
21682,059,Davie County,NC
21689,061,Duplin County,NC
21702,063,Durham County,NC
21708,065,Edgecombe County,NC
21722,067,Forsyth County,NC
21737,069,Franklin County,NC
21747,071,Gaston County,NC
21753,073,Gates County,NC
21760,075,Graham County,NC
21763,077,Granville County,NC
21772,079,Greene County,NC
21781,081,Guilford County,NC
21799,083,Halifax County,NC
21811,085,Harnett County,NC
21824,087,Haywood County,NC
21837,089,Henderson County,NC
21845,091,Hertford County,NC
21851,093,Hoke County,NC
21859,095,Hyde County,NC
21865,097,Iredell County,NC
21881,099,Jackson County,NC
21896,101,Johnston County,NC
21913,103,Jones County,NC
21920,105,Lee County,NC
21927,107,Lenoir County,NC
21939,109,Lincoln County,NC
21944,111,McDowell County,NC
21954,113,Macon County,NC
21965,115,Madison County,NC
21977,117,Martin County,NC
21987,119,Mecklenburg County,NC
22001,121,Mitchell County,NC
22010,123,Montgomery County,NC
22021,125,Moore County,NC
22031,127,Nash County,NC
22046,129,New Hanover County,NC
22051,131,Northampton County,NC
22060,133,Onslow County,NC
22067,135,Orange County,NC
22074,137,Pamlico County,NC
22079,139,Pasquotank County,NC
22085,141,Pender County,NC
22095,143,Perquimans County,NC
22100,145,Person County,NC
22109,147,Pitt County,NC
22124,149,Polk County,NC
22130,151,Randolph County,NC
22150,153,Richmond County,NC
22157,155,Robeson County,NC
22186,157,Rockingham County,NC
